Time,Volt
-1.20E-02,5.00E-01
-1.20E-02,5.20E-01
-1.19E-02,5.00E-01
-1.19E-02,5.20E-01
-1.18E-02,5.00E-01
-1.18E-02,5.20E-01
-1.18E-02,5.00E-01
-1.17E-02,5.00E-01
-1.17E-02,5.00E-01
-1.16E-02,5.20E-01
-1.16E-02,5.00E-01
-1.16E-02,5.20E-01
-1.15E-02,5.00E-01
-1.15E-02,5.20E-01
-1.14E-02,5.00E-01
-1.14E-02,5.00E-01
-1.14E-02,5.00E-01
-1.13E-02,5.20E-01
-1.13E-02,5.00E-01
-1.12E-02,5.20E-01
-1.12E-02,5.20E-01
-1.12E-02,5.00E-01
-1.11E-02,5.20E-01
-1.11E-02,5.00E-01
-1.10E-02,5.20E-01
-1.10E-02,5.00E-01
-1.10E-02,5.00E-01
-1.09E-02,5.20E-01
-1.09E-02,5.20E-01
-1.08E-02,5.00E-01
-1.08E-02,5.20E-01
-1.08E-02,5.00E-01
-1.07E-02,5.00E-01
-1.07E-02,5.20E-01
-1.06E-02,5.20E-01
-1.06E-02,4.80E-01
-1.06E-02,5.00E-01
-1.05E-02,5.20E-01
-1.05E-02,5.20E-01
-1.04E-02,5.00E-01
-1.04E-02,5.00E-01
-1.04E-02,5.00E-01
-1.03E-02,5.00E-01
-1.03E-02,5.20E-01
-1.02E-02,5.00E-01
-1.02E-02,5.20E-01
-1.02E-02,4.80E-01
-1.01E-02,5.20E-01
-1.01E-02,5.00E-01
-1.00E-02,5.20E-01
-1.00E-02,5.20E-01
-9.96E-03,5.00E-01
-9.92E-03,5.00E-01
-9.88E-03,5.20E-01
-9.84E-03,5.00E-01
-9.80E-03,5.20E-01
-9.76E-03,4.80E-01
-9.72E-03,5.20E-01
-9.68E-03,5.00E-01
-9.64E-03,5.20E-01
-9.60E-03,5.00E-01
-9.56E-03,5.20E-01
-9.52E-03,5.00E-01
-9.48E-03,5.20E-01
-9.44E-03,5.20E-01
-9.40E-03,5.00E-01
-9.36E-03,5.00E-01
-9.32E-03,5.20E-01
-9.28E-03,5.00E-01
-9.24E-03,5.20E-01
-9.20E-03,5.00E-01
-9.16E-03,5.20E-01
-9.12E-03,5.00E-01
-9.08E-03,5.20E-01
-9.04E-03,5.00E-01
-9.00E-03,5.20E-01
-8.96E-03,5.00E-01
-8.92E-03,5.20E-01
-8.88E-03,5.20E-01
-8.84E-03,5.00E-01
