Time,Volt
-1.20E-02,1.84E+00
-1.20E-02,1.92E+00
-1.19E-02,1.84E+00
-1.19E-02,1.84E+00
-1.18E-02,1.84E+00
-1.18E-02,1.84E+00
-1.18E-02,1.84E+00
-1.17E-02,1.92E+00
-1.17E-02,1.84E+00
-1.16E-02,1.84E+00
-1.16E-02,1.84E+00
-1.16E-02,1.92E+00
-1.15E-02,1.84E+00
-1.15E-02,1.92E+00
-1.14E-02,1.84E+00
-1.14E-02,1.84E+00
-1.14E-02,1.84E+00
-1.13E-02,1.92E+00
-1.13E-02,1.84E+00
-1.12E-02,1.92E+00
-1.12E-02,1.92E+00
-1.12E-02,1.84E+00
-1.11E-02,1.84E+00
-1.11E-02,1.92E+00
-1.10E-02,1.92E+00
-1.10E-02,1.84E+00
-1.10E-02,1.84E+00
-1.09E-02,1.84E+00
-1.09E-02,1.84E+00
-1.08E-02,1.92E+00
-1.08E-02,1.84E+00
-1.08E-02,1.84E+00
-1.07E-02,1.84E+00
-1.07E-02,1.84E+00
-1.06E-02,1.84E+00
-1.06E-02,1.84E+00
-1.06E-02,1.84E+00
-1.05E-02,1.92E+00
-1.05E-02,1.84E+00
-1.04E-02,1.84E+00
-1.04E-02,1.84E+00
-1.04E-02,1.92E+00
-1.03E-02,1.84E+00
-1.03E-02,1.92E+00
-1.02E-02,1.84E+00
-1.02E-02,1.92E+00
-1.02E-02,1.84E+00
-1.01E-02,1.92E+00
-1.01E-02,1.92E+00
-1.00E-02,1.84E+00
-1.00E-02,1.84E+00
-9.96E-03,1.84E+00
-9.92E-03,1.84E+00
-9.88E-03,1.92E+00
-9.84E-03,1.84E+00
-9.80E-03,1.92E+00
-9.76E-03,1.84E+00
-9.72E-03,1.92E+00
-9.68E-03,1.84E+00
-9.64E-03,1.92E+00
-9.60E-03,1.84E+00
-9.56E-03,1.84E+00
-9.52E-03,1.84E+00
-9.48E-03,1.92E+00
-9.44E-03,1.84E+00
-9.40E-03,1.92E+00
-9.36E-03,1.92E+00
-9.32E-03,1.84E+00
-9.28E-03,1.92E+00
-9.24E-03,1.84E+00
-9.20E-03,1.84E+00
-9.16E-03,1.92E+00
-9.12E-03,1.84E+00
-9.08E-03,1.92E+00
-9.04E-03,1.92E+00
-9.00E-03,1.84E+00
-8.96E-03,1.84E+00
-8.92E-03,1.92E+00
-8.88E-03,1.84E+00
-8.84E-03,1.92E+00
-8.80E-03,1.92E+00
-8.76E-03,1.84E+00
-8.72E-03,1.92E+00
-8.68E-03,1.84E+00
-8.64E-03,1.84E+00
-8.60E-03,1.92E+00
-8.56E-03,1.84E+00
-8.52E-03,1.84E+00
-8.48E-03,2.00E+00
-8.44E-03,1.84E+00
-8.40E-03,1.84E+00
-8.36E-03,1.84E+00
-8.32E-03,1.92E+00
-8.28E-03,1.84E+00
-8.24E-03,1.84E+00
-8.20E-03,1.92E+00
-8.16E-03,1.84E+00
-8.12E-03,1.92E+00
-8.08E-03,1.84E+00
-8.04E-03,1.92E+00
-8.00E-03,1.84E+00
-7.96E-03,1.92E+00
-7.92E-03,1.84E+00
-7.88E-03,1.92E+00
-7.84E-03,1.84E+00
-7.80E-03,1.92E+00
-7.76E-03,1.92E+00
-7.72E-03,1.84E+00
-7.68E-03,1.84E+00
-7.64E-03,1.92E+00
-7.60E-03,1.84E+00
-7.56E-03,1.92E+00
-7.52E-03,1.84E+00
-7.48E-03,1.92E+00
-7.44E-03,1.84E+00
-7.40E-03,1.84E+00
-7.36E-03,1.92E+00
-7.32E-03,1.84E+00
-7.28E-03,1.84E+00
-7.24E-03,1.92E+00
-7.20E-03,1.92E+00
-7.16E-03,1.84E+00
-7.12E-03,1.84E+00
-7.08E-03,1.92E+00
-7.04E-03,1.84E+00
-7.00E-03,1.92E+00
-6.96E-03,1.92E+00
-6.92E-03,1.84E+00
-6.88E-03,1.84E+00
-6.84E-03,1.92E+00
-6.80E-03,1.84E+00
-6.76E-03,1.92E+00
-6.72E-03,1.84E+00
-6.68E-03,1.84E+00
-6.64E-03,1.92E+00
-6.60E-03,1.84E+00
-6.56E-03,1.84E+00
-6.52E-03,1.92E+00
-6.48E-03,1.84E+00
-6.44E-03,1.92E+00
-6.40E-03,1.84E+00
-6.36E-03,1.92E+00
-6.32E-03,1.84E+00
-6.28E-03,1.92E+00
-6.24E-03,1.84E+00
-6.20E-03,1.92E+00
-6.16E-03,1.84E+00
-6.12E-03,1.92E+00
-6.08E-03,1.84E+00
-6.04E-03,1.92E+00
-6.00E-03,1.92E+00
-5.96E-03,1.84E+00
-5.92E-03,1.84E+00
-5.88E-03,1.92E+00
-5.84E-03,1.92E+00
-5.80E-03,1.84E+00
-5.76E-03,1.84E+00
