Time,Volt
-1.20E-02,4.32E-02
-1.20E-02,4.24E-02
-1.19E-02,4.40E-02
-1.19E-02,4.24E-02
-1.18E-02,4.40E-02
-1.18E-02,4.24E-02
-1.18E-02,4.24E-02
-1.17E-02,4.40E-02
-1.17E-02,4.24E-02
-1.16E-02,4.56E-02
-1.16E-02,4.48E-02
-1.16E-02,4.24E-02
-1.15E-02,4.40E-02
-1.15E-02,4.24E-02
-1.14E-02,4.40E-02
-1.14E-02,4.16E-02
-1.14E-02,4.08E-02
-1.13E-02,4.48E-02
-1.13E-02,4.40E-02
-1.12E-02,4.24E-02
-1.12E-02,4.56E-02
-1.12E-02,4.24E-02
-1.11E-02,4.48E-02
-1.11E-02,4.24E-02
-1.10E-02,4.48E-02
-1.10E-02,4.24E-02
-1.10E-02,4.48E-02
-1.09E-02,4.32E-02
-1.09E-02,4.32E-02
-1.08E-02,4.48E-02
-1.08E-02,4.40E-02
-1.08E-02,4.24E-02
-1.07E-02,4.24E-02
-1.07E-02,4.56E-02
-1.06E-02,4.16E-02
-1.06E-02,4.64E-02
-1.06E-02,4.24E-02
-1.05E-02,4.48E-02
-1.05E-02,4.40E-02
-1.04E-02,4.24E-02
-1.04E-02,4.40E-02
-1.04E-02,4.24E-02
-1.03E-02,4.64E-02
-1.03E-02,4.16E-02
-1.02E-02,4.24E-02
-1.02E-02,4.56E-02
-1.02E-02,4.40E-02
-1.01E-02,4.24E-02
-1.01E-02,4.40E-02
-1.00E-02,4.16E-02
-1.00E-02,4.16E-02
-9.96E-03,4.40E-02
-9.92E-03,4.40E-02
-9.88E-03,4.08E-02
-9.84E-03,4.40E-02
-9.80E-03,4.32E-02
-9.76E-03,4.40E-02
-9.72E-03,4.24E-02
-9.68E-03,4.24E-02
-9.64E-03,4.48E-02
-9.60E-03,4.24E-02
-9.56E-03,4.48E-02
-9.52E-03,4.24E-02
-9.48E-03,4.56E-02
-9.44E-03,4.40E-02
-9.40E-03,4.16E-02
-9.36E-03,4.48E-02
-9.32E-03,4.24E-02
-9.28E-03,4.48E-02
-9.24E-03,4.16E-02
-9.20E-03,4.24E-02
-9.16E-03,4.40E-02
-9.12E-03,4.24E-02
-9.08E-03,4.40E-02
-9.04E-03,4.40E-02
-9.00E-03,4.24E-02
-8.96E-03,4.40E-02
-8.92E-03,4.16E-02
-8.88E-03,4.32E-02
-8.84E-03,4.48E-02
-8.80E-03,4.40E-02
-8.76E-03,4.24E-02
-8.72E-03,4.40E-02
-8.68E-03,4.24E-02
-8.64E-03,4.24E-02
-8.60E-03,4.40E-02
-8.56E-03,4.40E-02
-8.52E-03,4.16E-02
-8.48E-03,4.24E-02
-8.44E-03,4.40E-02
-8.40E-03,4.24E-02
-8.36E-03,4.48E-02
-8.32E-03,4.48E-02
-8.28E-03,4.08E-02
-8.24E-03,4.48E-02
-8.20E-03,4.32E-02
-8.16E-03,4.40E-02
-8.12E-03,4.16E-02
-8.08E-03,4.48E-02
-8.04E-03,4.16E-02
-8.00E-03,4.16E-02
-7.96E-03,4.48E-02
-7.92E-03,4.08E-02
-7.88E-03,4.32E-02
-7.84E-03,4.56E-02
-7.80E-03,4.24E-02
-7.76E-03,4.40E-02
-7.72E-03,4.24E-02
-7.68E-03,4.40E-02
-7.64E-03,4.24E-02
-7.60E-03,4.16E-02
-7.56E-03,4.40E-02
-7.52E-03,4.32E-02
-7.48E-03,4.16E-02
-7.44E-03,4.40E-02
-7.40E-03,4.24E-02
-7.36E-03,4.40E-02
-7.32E-03,4.16E-02
-7.28E-03,4.16E-02
-7.24E-03,4.48E-02
-7.20E-03,4.40E-02
-7.16E-03,4.08E-02
-7.12E-03,4.40E-02
-7.08E-03,4.08E-02
-7.04E-03,4.24E-02
-7.00E-03,4.40E-02
-6.96E-03,4.16E-02
-6.92E-03,4.32E-02
-6.88E-03,4.32E-02
-6.84E-03,4.16E-02
-6.80E-03,4.16E-02
-6.76E-03,4.32E-02
-6.72E-03,4.40E-02
-6.68E-03,4.08E-02
-6.64E-03,4.32E-02
-6.60E-03,4.16E-02
-6.56E-03,4.16E-02
-6.52E-03,4.40E-02
-6.48E-03,4.08E-02
-6.44E-03,4.48E-02
-6.40E-03,4.24E-02
-6.36E-03,4.48E-02
-6.32E-03,4.16E-02
-6.28E-03,4.40E-02
-6.24E-03,4.24E-02
-6.20E-03,4.48E-02
-6.16E-03,4.08E-02
-6.12E-03,4.48E-02
-6.08E-03,4.16E-02
-6.04E-03,4.40E-02
-6.00E-03,4.40E-02
-5.96E-03,4.08E-02
-5.92E-03,4.40E-02
-5.88E-03,4.08E-02
-5.84E-03,4.48E-02
-5.80E-03,4.16E-02
-5.76E-03,4.16E-02
-5.72E-03,4.40E-02
-5.68E-03,4.16E-02
-5.64E-03,4.40E-02
-5.60E-03,4.16E-02
-5.56E-03,4.40E-02
-5.52E-03,4.40E-02
-5.48E-03,4.16E-02
-5.44E-03,4.56E-02
-5.40E-03,4.24E-02
-5.36E-03,4.40E-02
-5.32E-03,4.16E-02
-5.28E-03,4.08E-02
-5.24E-03,4.40E-02
-5.20E-03,4.48E-02
-5.16E-03,4.16E-02
-5.12E-03,4.40E-02
-5.08E-03,4.16E-02
-5.04E-03,4.40E-02
-5.00E-03,4.16E-02
-4.96E-03,4.48E-02
-4.92E-03,4.16E-02
-4.88E-03,4.40E-02
-4.84E-03,4.16E-02
-4.80E-03,4.16E-02
-4.76E-03,4.48E-02
-4.72E-03,4.32E-02
-4.68E-03,4.24E-02
-4.64E-03,4.16E-02
-4.60E-03,4.40E-02
-4.56E-03,4.40E-02
-4.52E-03,4.24E-02
-4.48E-03,4.40E-02
-4.44E-03,4.24E-02
-4.40E-03,4.40E-02
-4.36E-03,4.24E-02
-4.32E-03,4.08E-02
-4.28E-03,4.32E-02
-4.24E-03,4.40E-02
-4.20E-03,4.24E-02
-4.16E-03,4.40E-02
-4.12E-03,4.16E-02
-4.08E-03,4.24E-02
-4.04E-03,4.40E-02
-4.00E-03,4.16E-02
-3.96E-03,4.48E-02
-3.92E-03,4.16E-02
-3.88E-03,4.48E-02
-3.84E-03,4.08E-02
-3.80E-03,4.40E-02
-3.76E-03,4.48E-02
-3.72E-03,4.24E-02
-3.68E-03,4.40E-02
-3.64E-03,4.16E-02
-3.60E-03,4.40E-02
-3.56E-03,4.24E-02
-3.52E-03,4.40E-02
-3.48E-03,4.24E-02
-3.44E-03,4.24E-02
-3.40E-03,4.56E-02
-3.36E-03,4.24E-02
-3.32E-03,4.40E-02
-3.28E-03,4.40E-02
-3.24E-03,4.16E-02
-3.20E-03,4.40E-02
-3.16E-03,4.16E-02
-3.12E-03,4.40E-02
-3.08E-03,4.16E-02
-3.04E-03,4.40E-02
-3.00E-03,4.24E-02
-2.96E-03,4.40E-02
-2.92E-03,4.16E-02
-2.88E-03,4.24E-02
-2.84E-03,4.48E-02
-2.80E-03,4.64E-02
-2.76E-03,4.16E-02
-2.72E-03,4.16E-02
-2.68E-03,4.48E-02
-2.64E-03,4.24E-02
-2.60E-03,4.56E-02
-2.56E-03,4.24E-02
-2.52E-03,4.64E-02
-2.48E-03,4.24E-02
-2.44E-03,4.48E-02
-2.40E-03,4.24E-02
-2.36E-03,4.40E-02
-2.32E-03,4.56E-02
-2.28E-03,4.32E-02
-2.24E-03,4.40E-02
-2.20E-03,4.24E-02
-2.16E-03,4.48E-02
-2.12E-03,4.24E-02
-2.08E-03,4.48E-02
-2.04E-03,4.24E-02
-2.00E-03,4.32E-02
-1.96E-03,4.40E-02
-1.92E-03,4.24E-02
-1.88E-03,4.40E-02
-1.84E-03,4.40E-02
-1.80E-03,4.24E-02
-1.76E-03,4.24E-02
-1.72E-03,4.48E-02
-1.68E-03,4.16E-02
-1.64E-03,4.40E-02
-1.60E-03,4.48E-02
-1.56E-03,4.16E-02
-1.52E-03,4.24E-02
-1.48E-03,4.56E-02
-1.44E-03,4.48E-02
-1.40E-03,4.24E-02
-1.36E-03,4.40E-02
-1.32E-03,4.08E-02
-1.28E-03,4.24E-02
-1.24E-03,4.48E-02
-1.20E-03,4.24E-02
-1.16E-03,4.40E-02
-1.12E-03,4.48E-02
-1.08E-03,4.24E-02
