Time,Volt
-3.60E-05,3.36E-02
-3.40E-05,3.28E-02
-3.20E-05,3.28E-02
-3.00E-05,3.12E-02
-2.80E-05,3.20E-02
-2.60E-05,3.12E-02
-2.40E-05,3.12E-02
-2.20E-05,3.20E-02
-2.00E-05,3.12E-02
-1.80E-05,3.28E-02
-1.60E-05,3.12E-02
-1.40E-05,3.28E-02
-1.20E-05,3.36E-02
-1.00E-05,3.20E-02
-8.00E-06,3.20E-02
-6.00E-06,3.36E-02
-4.00E-06,3.20E-02
-2.00E-06,3.36E-02
-7.49E-10,3.28E-02
2.00E-06,3.36E-02
4.00E-06,3.28E-02
6.00E-06,3.44E-02
8.00E-06,3.36E-02
1.00E-05,3.44E-02
1.20E-05,3.36E-02
1.40E-05,3.52E-02
1.60E-05,3.44E-02
1.80E-05,3.52E-02
2.00E-05,3.52E-02
2.20E-05,3.44E-02
2.40E-05,3.44E-02
2.60E-05,3.60E-02
2.80E-05,3.44E-02
3.00E-05,3.36E-02
3.20E-05,3.36E-02
3.40E-05,3.52E-02
3.60E-05,3.44E-02
3.80E-05,3.36E-02
4.00E-05,3.52E-02
4.20E-05,3.36E-02
4.40E-05,3.44E-02
4.60E-05,3.36E-02
4.80E-05,3.44E-02
5.00E-05,3.36E-02
5.20E-05,3.44E-02
5.40E-05,3.36E-02
5.60E-05,3.36E-02
5.80E-05,3.28E-02
6.00E-05,3.28E-02
6.20E-05,3.44E-02
6.40E-05,3.36E-02
6.60E-05,3.52E-02
6.80E-05,3.36E-02
7.00E-05,3.52E-02
7.20E-05,3.44E-02
7.40E-05,3.28E-02
7.60E-05,3.36E-02
7.80E-05,3.44E-02
8.00E-05,3.28E-02
8.20E-05,3.36E-02
8.40E-05,3.28E-02
8.60E-05,3.20E-02
8.80E-05,3.28E-02
9.00E-05,3.36E-02
9.20E-05,3.44E-02
9.40E-05,3.28E-02
9.60E-05,3.36E-02
9.80E-05,3.52E-02
1.00E-04,3.44E-02
1.02E-04,3.36E-02
1.04E-04,3.44E-02
1.06E-04,3.28E-02
1.08E-04,3.44E-02
1.10E-04,3.28E-02
1.12E-04,3.36E-02
1.14E-04,3.44E-02
1.16E-04,3.44E-02
1.18E-04,3.28E-02
1.20E-04,3.36E-02
1.22E-04,3.52E-02
1.24E-04,3.36E-02
1.26E-04,3.52E-02
1.28E-04,3.36E-02
1.30E-04,3.52E-02
1.32E-04,3.36E-02
1.34E-04,3.52E-02
1.36E-04,3.44E-02
1.38E-04,3.28E-02
1.40E-04,3.44E-02
1.42E-04,3.28E-02
1.44E-04,3.36E-02
1.46E-04,3.28E-02
1.48E-04,3.44E-02
1.50E-04,3.28E-02
1.52E-04,3.36E-02
1.54E-04,3.44E-02
1.56E-04,3.44E-02
1.58E-04,3.28E-02
1.60E-04,3.28E-02
1.62E-04,3.44E-02
1.64E-04,3.44E-02
1.66E-04,3.28E-02
1.68E-04,3.36E-02
1.70E-04,3.28E-02
1.72E-04,3.28E-02
1.74E-04,3.36E-02
1.76E-04,3.28E-02
1.78E-04,3.36E-02
1.80E-04,3.44E-02
1.82E-04,3.36E-02
1.84E-04,3.44E-02
1.86E-04,3.36E-02
1.88E-04,3.52E-02
1.90E-04,3.36E-02
1.92E-04,3.52E-02
1.94E-04,3.36E-02
1.96E-04,3.44E-02
